#
## VC-USPEX 
#  ID   Compositions    Enthalpies
#                       (eV/atom) 
  18     8  0 20      -4.4344     
  32     8  0 18      -4.4789     
  80     4  8  0      -5.9205     
  90     8  8  0      -5.9309     
 680     0 16  0      -5.4243     
 946     1  0  2      -4.5281     
1760     0  0  4      -3.3655     
3576     4  0 12      -4.3456     
4577     3  0  0      -4.9296     
4995     0  0  4      -3.3651     
3874     4  8  0      -5.9196     
3497     0  4 16      -3.7762     
2031     0  2 16      -3.5926     
2490     0  4 16      -3.7755     
  73     4  0  0      -4.9275     
1203     0  0  4      -3.3631     
4772     5  8  0      -5.9212     
1117     0  2 16      -3.5912     
3840     0  2 16      -3.5911     
1490     4  0 12      -4.3414     
  74     4  0 12      -4.3413     
3416     4  0  9      -4.4746     
1396     1  0  3      -4.3411     
3045     1  0  3      -4.3408     
 491     0  0  8      -3.3607     
  63     0  0  4      -3.3604     
3583     4  0 10      -4.4288     
2702     4  0  0      -4.9235     
 353     5  0  0      -4.9231     
4721     0  0 16      -3.3590     
2369     8  0 20      -4.4276     
1386     0  0  4      -3.3586     
2346     4  0  0      -4.9221     
 780     3  0  0      -4.9219     
1039     2  0  0      -4.9219     
2345     2  0  0      -4.9206     
3993    12  0  0      -4.9205     
4500     2  0  0      -4.9191     
3959     2  0  6      -4.3344     
1906     8  0 20      -4.4226     
3454     8  0 20      -4.4189     
 709    12  0  0      -4.9104     
3971     6  0  0      -4.9101     
4509     4  0  0      -4.9086     
1328     8  0  0      -4.9078     
1904     8  0  0      -4.9074     
4059     8  0 18      -4.4565     
4567     4  0  1      -4.7859     
1311     3  0  0      -4.9058     
2444     4  0  0      -4.9044     
2430     2  0  1      -4.7029     
1521     9  0  1      -4.8400     
4377     3  0  1      -4.7491     
3785     4  0  0      -4.8993     
4954     3  0  0      -4.8982     
2868     3  0  0      -4.8981     
2730     8  0 20      -4.4008     
1036     3  0  0      -4.8951     
2329     5  0  0      -4.8952     
5056     8  0 20      -4.3963     
3453     8  0 18      -4.4398     
 943     4  0 10      -4.3950     
4996     2  0  2      -4.5884     
4958     6  0  0      -4.8890     
3367    12  0  0      -4.8886     
2620     6  0  2      -4.7376     
 744    18  0  0      -4.8880     
 305    18  0  0      -4.8852     
3186    12  0  0      -4.8848     
5072    12  0  0      -4.8839     
2551     9  0  0      -4.8837     
1131     4  0  2      -4.6815     
1712     9  7  0      -5.7579     
3544     8  0 18      -4.4311     
5048     6  0  0      -4.8800     
 475    12  0  0      -4.8793     
2665    17  1  0      -4.9904     
4505     5  0  1      -4.7783     
1918    15  2  0      -5.1131     
3103    11  0  1      -4.8269     
4612     8  0 20      -4.3818     
1435     8  7  1      -5.7142     
1450     8  0  1      -4.8087     
3778     4  0 10      -4.3805     
 210    14  3  0      -5.2289     
3089     6  0 16      -4.3478     
 912    17  1  0      -4.9844     
4028     4  7  1      -5.6910     
 996    12  0  0      -4.8730     
 911    18  0  0      -4.8723     
1536     8  0  1      -4.8054     
 161     3  0  1      -4.7203     
1552    23  1  0      -4.9541     
2744     8  0 20      -4.3751     
1527    11  1  0      -5.0365     
1925    24  0  0      -4.8696     
2012    13  3  1      -5.1874     
4334    11  1  0      -5.0361     
2701     4  0  0      -4.8687     
1002    18  0  0      -4.8683     
3458     8  0 18      -4.4169     
2327     4  0 12      -4.2834     
 191    12  0  0      -4.8673     
1616     9  1  0      -5.0666     
1006    18  0  0      -4.8653     
2113    23  1  0      -4.9486     
4879    11  1  0      -5.0313     
1550    22  2  0      -5.0310     
2044     1  0  3      -4.2800     
1007    23  1  0      -4.9468     
3096     9  0  2      -4.7539     
 182     7  2  0      -5.3079     
2199    15  2  0      -5.0985     
 532     8  1 19      -4.4409     
3972     6  0  2      -4.7123     
4319     4  0  0      -4.8625     
2467     8  0  1      -4.7953     
4316     6  0  1      -4.7761     
4200     4  0 12      -4.2780     
1263     8  8  0      -5.8630     
1858     1  0  3      -4.2777     
2413     3  0  3      -4.5599     
 274     8  7  1      -5.6988     
4967     8  0  4      -4.6591     
4758     4  0  8      -4.4583     
 727     8  0 20      -4.3645     
 511     4  0 10      -4.3629     
 728     8  1 19      -4.4360     
2553     9  4  0      -5.4738     
3109    17  1  0      -4.9689     
 762     0  0 19      -3.2930     
 898     8  0  0      -4.8567     
1915     8  0 20      -4.3609     
1500     4  0 12      -4.2716     
3680     3  0  7      -4.3892     
2432     4  0  9      -4.4044     
4060     3  0  1      -4.7045     
3876     4  1  0      -5.2550     
1551    22  2  0      -5.0201     
2806     2  0  0      -4.8533     
 513     5  0  0      -4.8532     
4485     5  0  1      -4.7521     
 462    11  1  0      -5.0189     
2193     8  1 19      -4.4301     
3417     4  0  3      -4.5939     
 216    12  0  0      -4.8515     
 785     5  2  0      -5.4237     
1318     4  0  0      -4.8514     
3628     8  1 17      -4.4820     
1983     6  0 16      -4.3233     
 544    10  2  0      -5.1844     
 886     6  0  0      -4.8504     
2084     8  0 20      -4.3552     
2538     5  0  8      -4.4784     
1042     4  1  0      -5.2492     
2913     9  0  0      -4.8487     
